Paper_ID,DOI,Journal,Year,Authors,Country,Crop,Scientific_Name,Variety,Season,Growth_Duration_Days,Growth_Stage,Design,Replications,Plot_Size,Spacing_Row,Spacing_Plant,Sample_Size,Location,State,Site,Latitude,Longitude,Altitude,Temperature_Max,Temperature_Min,Average_Temperature,Rainfall,Humidity,Soil_pH,EC,Organic_Carbon,Organic_Matter,Nitrogen,Phosphorus,Potassium,Sulphur,Iron,Copper,Manganese,Zinc,Calcium,Magnesium,Boron,Molybdenum,Treatment,Fertilizer_Name,Organic_Fertilizer,Biofertilizer,Dose,Application_Method,Application_Interval,Shoot_Length_cm,Root_Length_cm,Plant_Height_cm,Shoot_Biomass_g,Root_Biomass_g,Leaf_Area_cm2,Leaf_Number,Tillers,Root_Diameter_mm,SPAD,Moisture_Content,Dry_Matter,Stem_Diameter_mm,Branches,Nodes,Flowers,Plant_Height_30_cm,Plant_Height_60_cm,Plant_Height_90_cm,Leaf_Area_30_cm2,Leaf_Area_60_cm2,Leaf_Area_90_cm2,Yield_per_Plot,Yield_per_Acre,Yield_per_Hectare,Fruit_Number,Fruit_Weight,Fruit_Diameter_mm,Spike_Length,Seeds_per_Spike,100_Seed_Weight,Root_Weight,Pod_Weight,Harvest_Index,Biomass_Yield,Protein,Ash,Gluten,Fiber,Carbohydrates,Fat,Nitrogen_Content,Phosphorus_Content,Potassium_Content,Iron_Content,Copper_Content,Zinc_Content,Manganese_Content,Sulphur_Content,Target_Yield,Target_Fertilizer,Target_Nitrogen,Target_Phosphorus,Target_Potassium,Growing_Degree_Days,Heat_Units,Harvest_Index_Calc,Nitrogen_Use_Efficiency,Water_Use_Efficiency,Rainfall_Anomaly,Stress_Index,Disease_Risk_Index,Yield_per_Plant,Yield_per_Plot_Calc,Yield_per_Hectare_Calc,Temp_x_Rainfall,N_x_P,Temp_ squared,Rainfall_7d_MA,Temp_7d_MA,Feature_Available_Before_Prediction,Crop_Code,Season_Code,Variety_Code,Fertilizer_Code,Soil_Texture_Code,Country_Code,Predicted_Yield,Expected_Biomass,Expected_Plant_Height,Recommended_Fertilizer,Recommended_Dose,Recommended_Application_Interval,Expected_Yield_Increase,Confidence_Score,Recommendation_Summary,Source_File
Carrot,,,2022,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,,,,,,,,,T5,,,,,,,,,,,,139.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrot.pdf
Carrot,,,2022,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,,,,,,,,,T6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrot.pdf
Carrot,,,2022,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,,,,,,,,,T7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrot.pdf
Cowpea paper publish,10.13057/asianjagric/g080105,,2022,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cowpea paper publish.pdf
Cowpea paper publish,10.13057/asianjagric/g080105,,2022,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cowpea paper publish.pdf
Cowpea paper publish,10.13057/asianjagric/g080105,,2022,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cowpea paper publish.pdf
Cowpea paper publish,10.13057/asianjagric/g080105,,2022,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cowpea paper publish.pdf
Cowpea paper publish,10.13057/asianjagric/g080105,,2022,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cowpea paper publish.pdf
Cowpea paper publish,10.13057/asianjagric/g080105,,2022,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cowpea paper publish.pdf
Cowpea paper publish,10.13057/asianjagric/g080105,,2022,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cowpea paper publish.pdf
Cowpea paper publish,10.13057/asianjagric/g080105,,2022,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cowpea paper publish.pdf
Cowpea paper publish,10.13057/asianjagric/g080105,,2022,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cowpea paper publish.pdf
Cowpea paper publish,10.13057/asianjagric/g080105,,2022,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cowpea paper publish.pdf
Cowpea paper publish,10.13057/asianjagric/g080105,,2022,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cowpea paper publish.pdf
Cowpea paper publish,10.13057/asianjagric/g080105,,2022,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cowpea paper publish.pdf
Land Degrad Dev _ 2021 _ Yadav _ Sustaining the properties of black soil in Central India through crop residue management,10.1002/ldr.3891,,2014,,,Black Wheat,,,,,,RBD,,,,,,,,,,,,,,,146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Land Degrad Dev - 2021 - Yadav - Sustaining the properties of black soil in Central India through crop residue management.pdf
Spinach,10.65041/AgriBioInnovations.2026.3.1.1,,2026,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spinach.pdf
Spinach,10.65041/AgriBioInnovations.2026.3.1.1,,2026,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spinach.pdf
Spinach,10.65041/AgriBioInnovations.2026.3.1.1,,2026,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spinach.pdf
Spinach,10.65041/AgriBioInnovations.2026.3.1.1,,2026,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spinach.pdf
Spinach,10.65041/AgriBioInnovations.2026.3.1.1,,2026,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spinach.pdf
Spinach,10.65041/AgriBioInnovations.2026.3.1.1,,2026,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spinach.pdf
Spinach,10.65041/AgriBioInnovations.2026.3.1.1,,2026,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spinach.pdf
Spinach,10.65041/AgriBioInnovations.2026.3.1.1,,2026,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spinach.pdf
Spinach,10.65041/AgriBioInnovations.2026.3.1.1,,2026,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0,,,,,,,,,,,,,,,,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spinach.pdf
Spinach,10.65041/AgriBioInnovations.2026.3.1.1,,2026,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,,,,,,,,,,30.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spinach.pdf
Spinach,10.65041/AgriBioInnovations.2026.3.1.1,,2026,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2,,,,,,,,,,,,,,,,33.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spinach.pdf
Spinach,10.65041/AgriBioInnovations.2026.3.1.1,,2026,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T3,,,,,,,,,,,,,,,,33.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spinach.pdf
Spinach,10.65041/AgriBioInnovations.2026.3.1.1,,2026,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T4,,,,,,,,,,,,,,,,33.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spinach.pdf
Spinach,10.65041/AgriBioInnovations.2026.3.1.1,,2026,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T5,,,,,,,,,,,,,,,,30.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spinach.pdf
Spinach,10.65041/AgriBioInnovations.2026.3.1.1,,2026,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T6,,,,,,,,,,,,,,,,33.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spinach.pdf
Spinach,10.65041/AgriBioInnovations.2026.3.1.1,,2026,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T7,,,,,,,,,,,,,,,,32.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spinach.pdf
agronomy_15_00961_v2,10.3390/agronomy15040961,,2025,,,Black Wheat,,,,,,RCBD,,,,,,,,,,,,,,,354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agronomy-15-00961-v2.pdf
fpls_12_748523,10.3389/fpls.2021.748523,,2021,,,Black Wheat,,,,,,RCBD,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,T0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fpls-12-748523.pdf
fpls_12_748523,10.3389/fpls.2021.748523,,2021,,,Black Wheat,,,,,,RCBD,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fpls-12-748523.pdf
fpls_12_748523,10.3389/fpls.2021.748523,,2021,,,Black Wheat,,,,,,RCBD,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fpls-12-748523.pdf
fpls_12_748523,10.3389/fpls.2021.748523,,2021,,,Black Wheat,,,,,,RCBD,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fpls-12-748523.pdf
fpls_12_748523,10.3389/fpls.2021.748523,,2021,,,Black Wheat,,,,,,RCBD,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fpls-12-748523.pdf
fpls_12_748523,10.3389/fpls.2021.748523,,2021,,,Black Wheat,,,,,,RCBD,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,T0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fpls-12-748523.pdf
fpls_12_748523,10.3389/fpls.2021.748523,,2021,,,Black Wheat,,,,,,RCBD,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fpls-12-748523.pdf
fpls_12_748523,10.3389/fpls.2021.748523,,2021,,,Black Wheat,,,,,,RCBD,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fpls-12-748523.pdf
fpls_12_748523,10.3389/fpls.2021.748523,,2021,,,Black Wheat,,,,,,RCBD,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fpls-12-748523.pdf
fpls_12_748523,10.3389/fpls.2021.748523,,2021,,,Black Wheat,,,,,,RCBD,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fpls-12-748523.pdf
fpls_16_1521113,10.3389/fpls.2025.1521113,,2020,,,Black Wheat,,,,,,Split Plot,,,,,,,,,,,,,,,169.4,,,,,,,,,,,,,,,,,,W0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fpls-16-1521113.pdf
fpls_16_1521113,10.3389/fpls.2025.1521113,,2020,,,Black Wheat,,,,,,Split Plot,,,,,,,,,,,,,,,169.4,,,,,,,,,,,,,,,,,,W1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fpls-16-1521113.pdf
fpls_16_1521113,10.3389/fpls.2025.1521113,,2020,,,Black Wheat,,,,,,Split Plot,,,,,,,,,,,,,,,169.4,,,,,,,,,,,,,,,,,,W2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fpls-16-1521113.pdf
fpls_16_1521113,10.3389/fpls.2025.1521113,,2020,,,Black Wheat,,,,,,Split Plot,,,,,,,,,,,,,,,169.4,,,,,,,,,,,,,,,,,,W0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fpls-16-1521113.pdf
fpls_16_1521113,10.3389/fpls.2025.1521113,,2020,,,Black Wheat,,,,,,Split Plot,,,,,,,,,,,,,,,169.4,,,,,,,,,,,,,,,,,,W1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fpls-16-1521113.pdf
fpls_16_1521113,10.3389/fpls.2025.1521113,,2020,,,Black Wheat,,,,,,Split Plot,,,,,,,,,,,,,,,169.4,,,,,,,,,,,,,,,,,,W2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fpls-16-1521113.pdf
fpls_16_1521113,10.3389/fpls.2025.1521113,,2020,,,Black Wheat,,,,,,Split Plot,,,,,,,,,,,,,,,169.4,,,,,,,,,,,,,,,,,,W0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fpls-16-1521113.pdf
fpls_16_1521113,10.3389/fpls.2025.1521113,,2020,,,Black Wheat,,,,,,Split Plot,,,,,,,,,,,,,,,169.4,,,,,,,,,,,,,,,,,,W1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fpls-16-1521113.pdf
fpls_16_1521113,10.3389/fpls.2025.1521113,,2020,,,Black Wheat,,,,,,Split Plot,,,,,,,,,,,,,,,169.4,,,,,,,,,,,,,,,,,,W2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fpls-16-1521113.pdf
fpls_16_1521113,10.3389/fpls.2025.1521113,,2020,,,Black Wheat,,,,,,Split Plot,,,,,,,,,,,,,,,169.4,,,,,,,,,,,,,,,,,,W0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fpls-16-1521113.pdf
fpls_16_1521113,10.3389/fpls.2025.1521113,,2020,,,Black Wheat,,,,,,Split Plot,,,,,,,,,,,,,,,169.4,,,,,,,,,,,,,,,,,,W1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fpls-16-1521113.pdf
fpls_16_1521113,10.3389/fpls.2025.1521113,,2020,,,Black Wheat,,,,,,Split Plot,,,,,,,,,,,,,,,169.4,,,,,,,,,,,,,,,,,,W2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fpls-16-1521113.pdf
s41477_021_01001_0,10.1038/s41477-021-01001-0,,2021,,,Chickpea,,,,,,,,,,,,,,,,,,,,,310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s41477-021-01001-0.pdf
s41598_017_03539_6,10.1038/s41598-017-03539-6,,2015,,,Maize,,,,,,RCBD,,,,,,,,,,,,,,,296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s41598-017-03539-6.pdf
s42106_025_00391_x,10.1007/s42106-025-00391-x,,2021,,,Black Wheat,,,,,,RBD,,,,,,,,,,,,,,,233.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s42106-025-00391-x.pdf
