Column,Data_Type,Unique_Values,Missing_Count,Missing_Pct,Sample_Values
P_x_OC,float64,9,0,0.0,"[23.5, 1.25, 6.6, 12.65, 1.5]"
K_x_OC,float64,5,0,0.0,"[200.0, 50.0, 60.0, 110.00000000000001, 70.0]"
LA_log,float64,19,35,53.03,"[3.746676552840153, 3.888201513302144, 3.926852502874144, 3.9988060230124183, 4.018542848805819]"
LA_squared,float64,19,35,53.03,"[1712.3044000000002, 2287.039329, 2474.764009, 2865.7820890000003, 2983.3443999999995]"
ShootBiomass_log,float64,16,38,57.58,"[1.9843063465647972, 2.3555569777601515, 2.424094510391243, 2.5426250919679854, 2.4325601694157912]"
RootBiomass_log,float64,16,38,57.58,"[0.7280315824134471, 0.8539897056767757, 0.7925399244379802, 1.026758184900126, 0.9317703027225414]"
Shoot_Root_Ratio,float64,16,38,57.58,"[5.858076563958917, 7.0748702742772425, 8.512820512820513, 6.536272321428571, 6.749837556855101]"
Root_Shoot_Ratio,float64,16,38,57.58,"[0.17070449474019764, 0.14134534786253142, 0.11746987951807229, 0.15299240160505423, 0.14815171351559492]"
Root_pct,float64,16,38,57.58,"[0.14581347855684137, 0.12384099880657302, 0.1051212938005391, 0.13269159570529435, 0.12903496268969564]"
N_x_P_x_pH,float64,9,0,0.0,"[23793.75, 13320.0, 63140.0, 60996.0, 12870.0]"
FruitWeight_log,float64,8,58,87.88,"[3.6247141966381498, 4.161255267504727, 4.165982820474895, 4.034948352265444, 3.932648823221802]"
FruitWeight_sqrt,float64,8,58,87.88,"[6.042681523959375, 7.9468232646762695, 7.965927441296462, 7.4525163535546834, 7.074037036940081]"
FruitWeight_squared,float64,8,58,87.88,"[1333.2721960000001, 3988.175104, 4026.6639360000004, 3084.6916, 2504.2017640000004]"
SeedWeight_log,float64,10,46,69.7,"[1.6154199841116479, 1.7595805708638197, 1.6714733033535532, 1.7119945007591924, 1.6563214983329508]"
SeedWeight_squared,float64,10,46,69.7,"[16.240900000000003, 23.136099999999995, 18.6624, 20.6116, 17.977600000000002]"
HI_squared,float64,0,66,100.0,[]
HI_log,float64,0,66,100.0,[]
Tavg_squared,float64,1,0,0.0,[702.25]
Tavg_log,float64,1,0,0.0,[3.3141860046725258]
NPK_x_pH,float64,9,0,0.0,"[2521.125, 4140.0, 4424.0, 4168.4, 3927.0]"
N_Rainfall_ratio,float64,8,0,0.0,"[9.090909090909092, 0.15, 0.37, 0.41, 0.39]"
Biomass_x_N,float64,16,38,57.58,"[1101.75, 1633.95, 1725.1499999999999, 2025.7499999999998, 1789.05]"
Biomass_N_ratio,float64,16,38,57.58,"[0.048966666666666665, 0.07262, 0.07667333333333333, 0.09003333333333333, 0.07951333333333332]"
Biomass_x_pH,float64,16,38,57.58,"[49.57875, 73.52775, 77.63175, 91.15875, 80.50725]"
SPAD_x_N,float64,8,46,69.7,"[6883.35, 7166.7, 7873.349999999999, 7486.650000000001, 7931.7]"
LA_x_N,float64,19,35,53.03,"[6207.0, 7173.45, 7462.05, 8029.95, 8193.0]"
Height_x_P,float64,3,63,95.45,"[85.15, 108.35000000000001, 242.10000000000002]"
Height_x_K,float64,3,63,95.45,"[3406.0, 4334.0, 4842.0]"
Height_x_SPAD,float64,0,66,100.0,[]
